NMFS_DNA_ID,PoolName,LibraryName,Sequencer,STATE_M,COLLECTION_DATE,CRUISE,HAUL,LATITUDE_M,LONGITUDE_M,depth
SQ000186,squid_8,SQ227,NovaSeqX25B,California,7/31/22,2207RL,18,37.97,-123.15,2.69631
SQ000187,squid_8,SQ228,NovaSeqX25B,California,7/31/22,2207RL,18,37.97,-123.15,2.02812
SQ000188,squid_8,SQ229,NovaSeqX25B,California,7/31/22,2207RL,18,37.97,-123.15,2.53257
SQ000189,squid_8,SQ200,NovaSeqX25B,California,7/31/22,2207RL,18,37.97,-123.15,2.0501
SQ000190,squid_8,SQ201,NovaSeqX25B,California,7/31/22,2207RL,18,37.97,-123.15,2.26486
SQ000191,squid_8,SQ202,NovaSeqX25B,California,7/31/22,2207RL,18,37.97,-123.15,2.47699
SQ000192,squid_8,SQ203,NovaSeqX25B,California,7/31/22,2207RL,18,37.97,-123.15,2.34153
SQ000193,squid_8,SQ188,NovaSeqX25B,California,7/31/22,2207RL,18,37.97,-123.15,2.45026
SQ000194,squid_8,SQ189,NovaSeqX25B,California,9/12/22,2207RL,40,36.56,-122.01,2.79596
SQ000195,squid_8,SQ190,NovaSeqX25B,California,9/12/22,2207RL,40,36.56,-122.01,2.69
SQ000196,squid_8,SQ197,NovaSeqX25B,California,9/12/22,2207RL,40,36.56,-122.01,2.67001
SQ000197,squid_8,SQ198,NovaSeqX25B,California,9/12/22,2207RL,40,36.56,-122.01,2.65212
SQ000198,squid_8,SQ199,NovaSeqX25B,California,9/12/22,2207RL,40,36.56,-122.01,2.29055
SQ000199,squid_8,SQ204,NovaSeqX25B,California,9/12/22,2207RL,40,36.56,-122.01,2.24034
SQ000200,squid_8,SQ205,NovaSeqX25B,California,9/12/22,2207RL,40,36.56,-122.01,1.74033
SQ000201,squid_8,SQ191,NovaSeqX25B,California,9/12/22,2207RL,40,36.56,-122.01,2.376
SQ000202,squid_8,SQ192,NovaSeqX25B,California,7/31/22,2207RL,19,37.58,-123.18,2.16015
SQ000203,squid_8,SQ193,NovaSeqX25B,California,NA,2207RL,49,34.5,-120.67,2.43215
SQ000204,squid_8,SQ206,NovaSeqX25B,California,NA,2207RL,49,34.5,-120.67,1.98642
SQ000205,squid_8,SQ207,NovaSeqX25B,California,NA,2207RL,49,34.5,-120.67,1.97246
SQ000206,squid_8,SQ208,NovaSeqX25B,California,NA,2207RL,49,34.5,-120.67,2.55759
SQ000207,squid_8,SQ209,NovaSeqX25B,California,NA,2207RL,49,34.5,-120.67,1.9397
SQ000208,squid_8,SQ210,NovaSeqX25B,California,NA,2207RL,49,34.5,-120.67,1.67774
SQ000209,squid_8,SQ211,NovaSeqX25B,California,NA,2207RL,49,34.5,-120.67,2.37176
SQ000210,squid_8,SQ194,NovaSeqX25B,California,NA,2207RL,52,34.34,-119.72,2.30931
SQ000211,squid_8,SQ212,NovaSeqX25B,California,NA,2207RL,52,34.34,-119.72,2.02974
SQ000212,squid_8,SQ213,NovaSeqX25B,California,NA,2207RL,52,34.34,-119.72,2.40648
SQ000213,squid_8,SQ214,NovaSeqX25B,California,NA,2207RL,52,34.34,-119.72,2.09354
SQ000214,squid_8,SQ215,NovaSeqX25B,California,NA,2207RL,52,34.34,-119.72,2.40239
SQ000215,squid_8,SQ218,NovaSeqX25B,California,NA,2207RL,52,34.34,-119.72,2.24427
SQ000216,squid_8,SQ219,NovaSeqX25B,California,NA,2207RL,52,34.34,-119.72,2.22654
SQ000217,squid_8,SQ220,NovaSeqX25B,California,NA,2207RL,52,34.34,-119.72,2.87708
SQ000218,squid_8,SQ221,NovaSeqX25B,Alaska,7/9/17,NA,NA,NA,NA,2.49884
SQ000219,squid_8,SQ222,NovaSeqX25B,Alaska,7/9/17,NA,NA,NA,NA,3.621
SQ000220,squid_8,SQ223,NovaSeqX25B,Alaska,7/9/17,NA,NA,NA,NA,2.45047
SQ000221,squid_8,SQ256,NovaSeqX25B,Alaska,7/9/17,NA,NA,NA,NA,3.21914
SQ000222,squid_8,SQ257,NovaSeqX25B,Alaska,7/9/17,NA,NA,NA,NA,3.95753
SQ000223,squid_8,SQ258,NovaSeqX25B,Alaska,7/9/17,NA,NA,NA,NA,3.63063
SQ000224,squid_8,SQ230,NovaSeqX25B,California,NA,2207RL,73,32.96,-118.75,2.67478
SQ000225,squid_8,SQ231,NovaSeqX25B,California,NA,2207RL,73,32.96,-118.75,2.26475
SQ000227,squid_8,SQ233,NovaSeqX25B,California,NA,2207RL,73,32.96,-118.75,2.48469
SQ000228,squid_8,SQ234,NovaSeqX25B,California,NA,2207RL,73,32.96,-118.75,2.63396
SQ000229,squid_8,SQ235,NovaSeqX25B,California,NA,2207RL,73,32.96,-118.75,2.26019
SQ000230,squid_8,SQ236,NovaSeqX25B,California,NA,2207RL,73,32.96,-118.75,2.2736
SQ000231,squid_8,SQ237,NovaSeqX25B,California,3/30/21,2103RL,26,34.21,-119.47,2.71424
SQ000232,squid_8,SQ238,NovaSeqX25B,California,3/30/21,2103RL,26,34.21,-119.47,2.75413
SQ000233,squid_8,SQ239,NovaSeqX25B,California,3/30/21,2103RL,26,34.21,-119.47,3.37933
SQ000234,squid_8,SQ265,NovaSeqX25B,California,3/30/21,2103RL,26,34.21,-119.47,2.30918
SQ000235,squid_8,SQ240,NovaSeqX25B,California,3/30/21,2103RL,26,34.21,-119.47,2.60948
