NMFS_DNA_ID,PoolName,LibraryName,Sequencer,STATE_M,COLLECTION_DATE,CRUISE,HAUL,LATITUDE_M,LONGITUDE_M,depth,
SQ000138,squid_7,SQ134,NovaSeqX25B,California,8/2/22,2207RL,22,37.5483,-122.8723,3.37054,
SQ000139,squid_7,SQ135,NovaSeqX25B,California,8/2/22,2207RL,22,37.5483,-122.8723,2.77055,
SQ000140,squid_7,SQ136,NovaSeqX25B,California,8/2/22,2207RL,22,37.5483,-122.8723,2.33241,
SQ000141,squid_7,SQ137,NovaSeqX25B,California,8/2/22,2207RL,22,37.5483,-122.8723,2.93412,
SQ000106,squid_6,SQ101,NovaSeq6000,California,8/2/22,2207RL,23,37.4273,-122.7072,8.75709,
SQ000107,squid_6,SQ102,NovaSeq6000,California,8/2/22,2207RL,23,37.4273,-122.7072,8.4279,
SQ000120,squid_7,SQ117,NovaSeqX25B,California,8/2/22,2207RL,23,37.4273,-122.7072,2.029,
SQ000121,squid_7,SQ118,NovaSeqX25B,California,8/2/22,2207RL,23,37.4273,-122.7072,2.1495,
SQ000122,squid_7,SQ119,NovaSeqX25B,California,8/2/22,2207RL,23,37.4273,-122.7072,2.83366,
SQ000123,squid_7,SQ120,NovaSeqX25B,California,8/2/22,2207RL,23,37.4273,-122.7072,2.68763,
SQ000124,squid_7,SQ121,NovaSeqX25B,California,8/2/22,2207RL,23,37.4273,-122.7072,2.59538,
SQ000055,squid_3,SQ43,NovaSeq6000,California,8/3/22,2207RL,24,37.022,-122.6633,5.80455,
SQ000056,squid_3,SQ44,NovaSeq6000,California,8/3/22,2207RL,24,37.022,-122.6633,5.66813,
SQ000057,squid_3,SQ45,NovaSeq6000,California,8/3/22,2207RL,24,37.022,-122.6633,6.43427,
SQ000058,squid_3,SQ46,NovaSeq6000,California,8/3/22,2207RL,24,37.022,-122.6633,6.22057,
SQ000126,squid_7,SQ122,NovaSeqX25B,California,8/3/22,2207RL,24,37.022,-122.6633,2.64702,
SQ000127,squid_7,SQ123,NovaSeqX25B,California,8/3/22,2207RL,24,37.022,-122.6633,3.09557,
SQ000128,squid_7,SQ124,NovaSeqX25B,California,8/3/22,2207RL,24,37.022,-122.6633,2.34621,
SQ000129,squid_7,SQ125,NovaSeqX25B,California,8/3/22,2207RL,24,37.022,-122.6633,2.6253,
SQ000130,squid_7,SQ126,NovaSeqX25B,California,8/3/22,2207RL,24,37.022,-122.6633,2.76269,
SQ000131,squid_7,SQ127,NovaSeqX25B,California,8/3/22,2207RL,24,37.022,-122.6633,2.99689,
